bResult,blueTopChamp,blueJungleChamp,blueMiddleChamp,blueADCChamp,blueSupportChamp
1,Nautilus,LeeSin,Syndra,Varus,Taric
1,Maokai,Khazix,Orianna,Varus,Karma
1,Nautilus,Khazix,Orianna,Twitch,Karma
1,Nautilus,Graves,Corki,Ashe,Zyra
1,Maokai,Graves,TwistedFate,Varus,Malzahar
1,Fiora,RekSai,Ryze,Varus,Morgana
1,Maokai,Rengar,Cassiopeia,Ezreal,Karma
1,Maokai,Elise,Corki,Ashe,MissFortune
1,Fiora,RekSai,Ryze,Ashe,Thresh
1,Nautilus,Khazix,Cassiopeia,Ashe,Karma
1,Maokai,Khazix,Syndra,Caitlyn,Morgana
1,Maokai,LeeSin,Cassiopeia,Ashe,Thresh
1,Nautilus,Olaf,Katarina,Ashe,MissFortune
1,Fiora,RekSai,Ekko,Ashe,MissFortune
1,Maokai,Khazix,Corki,Caitlyn,Malzahar
1,Nautilus,Khazix,TwistedFate,Varus,Malzahar
1,Nautilus,Khazix,Cassiopeia,Varus,Braum
1,Nautilus,Khazix,Syndra,Ashe,Malzahar
1,Maokai,Khazix,Orianna,Ezreal,Nami
1,Poppy,Rengar,Ryze,Ashe,Zyra
1,Poppy,Khazix,Ekko,Ashe,Thresh
1,Maokai,Rengar,Azir,Varus,Karma
1,Maokai,LeeSin,Ryze,Varus,Karma
1,Swain,Khazix,TwistedFate,Ashe,MissFortune
1,Shen,Rengar,Corki,Varus,MissFortune
1,Swain,Khazix,Viktor,Jhin,Camille
1,Nautilus,Khazix,Viktor,Jhin,Malzahar
1,Nautilus,Khazix,Orianna,Ashe,Zyra
1,Nautilus,Khazix,Orianna,Ashe,Zyra
1,Nautilus,Khazix,Ryze,Ashe,Morgana
1,Nautilus,Khazix,Cassiopeia,Ashe,TahmKench
1,Trundle,Khazix,Orianna,Jhin,Malzahar
1,Shen,Khazix,Katarina,Ashe,Malzahar
1,Maokai,Khazix,Corki,Varus,Nami
1,Rumble,RekSai,Corki,Varus,Zyra
1,Maokai,Khazix,AurelionSol,Sivir,Karma
1,Camille,LeeSin,Corki,Jhin,Thresh
1,Shen,Rengar,Zed,MissFortune,Morgana
1,Nautilus,Khazix,Corki,Jhin,Lulu
1,Maokai,Khazix,Ryze,Jhin,Taric
1,Shen,Khazix,Corki,Varus,Nami
1,Shen,Rengar,Ekko,Ashe,Karma
1,Maokai,Khazix,Syndra,Jhin,MissFortune
1,Shen,Evelynn,Zed,Jhin,Karma
1,Rumble,Khazix,Syndra,Jhin,Malzahar
1,Jayce,Ivern,Taliyah,Jhin,Karma
1,Rumble,Graves,Corki,Varus,Nami
1,Maokai,Khazix,Ryze,Jhin,Malzahar
1,Maokai,Warwick,Ryze,Varus,Malzahar
1,Singed,Khazix,Corki,Jhin,Malzahar
1,Maokai,Nidalee,Jayce,Jhin,Malzahar
1,Rumble,Ivern,Jayce,Jhin,Taric
1,Maokai,Khazix,Ryze,MissFortune,Thresh
1,Maokai,Graves,Ekko,Jhin,Thresh
1,Rumble,Khazix,Jayce,Jhin,Lulu
1,Gangplank,Rengar,Corki,Jhin,Malzahar
1,Singed,Khazix,Corki,Jhin,Malzahar
1,Maokai,Graves,Orianna,Varus,Nami
1,Shen,Graves,Zed,Ziggs,Thresh
1,Gangplank,Elise,Syndra,Jhin,Lulu
1,Nautilus,Rengar,Jayce,Ashe,Soraka
1,Rumble,Rengar,Corki,Sivir,Janna
1,Fiora,Rengar,AurelionSol,Ashe,Soraka
1,Maokai,Rengar,Leblanc,Caitlyn,Zyra
1,Camille,Nidalee,Jayce,Jhin,Zyra
1,Shen,RekSai,Corki,Varus,Malzahar
1,Shen,Rengar,Jayce,Sivir,Karma
1,Rumble,Rengar,Orianna,Jhin,Janna
1,Nautilus,Graves,Ekko,Jhin,Zyra
1,Poppy,LeeSin,Orianna,Jhin,Soraka
1,Nautilus,Elise,Leblanc,Ashe,MissFortune
1,Camille,Rengar,Ahri,Jhin,Karma
1,Nautilus,Olaf,Syndra,Ashe,Nami
1,Shen,Graves,Orianna,Ezreal,Bard
1,Rumble,Graves,Jayce,Jhin,TahmKench
1,Rumble,Graves,Zed,Mordekaiser,Nautilus
1,Ekko,LeeSin,Jayce,Jhin,Malzahar
1,Nautilus,Graves,Orianna,Mordekaiser,Blitzcrank
1,Maokai,Rengar,Syndra,Varus,Karma
1,Kled,Elise,Jayce,Ashe,Nami
1,Gragas,LeeSin,Jayce,Ezreal,TahmKench
1,Gangplank,Zac,Leblanc,Jhin,Lulu
1,Rumble,Khazix,Jayce,Varus,Braum
1,Renekton,Rengar,Ahri,Ashe,TahmKench
1,Renekton,Graves,Syndra,Jhin,Karma
1,Renekton,Rengar,Viktor,Ashe,Camille
1,Camille,Rengar,Jayce,Ezreal,Karma
1,Rumble,Elise,Talon,Ashe,MissFortune
1,Rumble,Elise,Jayce,Jhin,Zyra
1,Camille,Rengar,Ekko,Ezreal,Karma
1,Kled,Elise,Viktor,Ezreal,Nami
1,Nautilus,Rengar,Syndra,Jhin,Lulu
1,Rumble,LeeSin,Jayce,Ziggs,Braum
1,Camille,Graves,Ryze,Ziggs,Karma
1,Rumble,Rengar,Jayce,Ashe,Karma
1,Kled,Zac,Cassiopeia,Ezreal,Lulu
1,Trundle,Rengar,Orianna,Caitlyn,Lulu
1,Rumble,Rengar,Ekko,Jhin,Karma
1,Poppy,Gragas,Ahri,Ezreal,Lulu
1,Shen,Graves,Ahri,Ashe,Lulu
1,Gragas,Graves,Vladimir,Ezreal,Thresh
1,Rumble,Rengar,Orianna,Caitlyn,Karma
1,Gragas,Graves,Ryze,Ashe,Lulu
1,Camille,Elise,Ryze,Jhin,Karma
1,Renekton,LeeSin,Talon,Ziggs,Malzahar
