rResult,redTopChamp,redJungleChamp,redMiddleChamp,redADCChamp,redSupportChamp
1,Shen,Khazix,Fizz,Ashe,MissFortune
1,Maokai,Rengar,Lissandra,Varus,Nami
1,Maokai,Khazix,Cassiopeia,Ashe,Lulu
1,Maokai,LeeSin,Corki,Varus,Karma
1,Maokai,Khazix,Fizz,Varus,Morgana
1,Maokai,Olaf,Ekko,Ashe,MissFortune
1,Shen,Khazix,Ekko,Ashe,Zyra
1,Maokai,Khazix,TwistedFate,Ashe,Karma
1,Nautilus,Khazix,Ryze,Jhin,Taric
1,Maokai,Khazix,Leblanc,Ezreal,Karma
1,Nautilus,Rengar,Kassadin,Jhin,Malzahar
1,Fiora,RekSai,Ryze,Jhin,Malzahar
1,Poppy,LeeSin,Cassiopeia,Varus,Thresh
1,Maokai,LeeSin,Orianna,Jhin,Karma
1,Jayce,RekSai,Ryze,Ashe,Karma
1,Maokai,LeeSin,Anivia,Ashe,Zyra
1,Maokai,RekSai,Orianna,Varus,Nami
1,Nautilus,RekSai,Syndra,Ashe,Morgana
1,Shen,RekSai,Cassiopeia,Varus,Nami
1,Jayce,RekSai,Corki,Caitlyn,Zyra
1,Maokai,Ivern,Azir,Jhin,Thresh
1,Shen,Nidalee,Jayce,MissFortune,Zyra
1,Maokai,Khazix,Ryze,Varus,TahmKench
1,Maokai,Khazix,Corki,Ashe,Zyra
1,Shen,Ivern,Corki,Jhin,MissFortune
1,Poppy,Khazix,Orianna,Varus,Thresh
1,Maokai,Graves,Orianna,Varus,Thresh
1,Shen,Evelynn,Corki,Jhin,Karma
1,Shen,Ivern,Syndra,Varus,MissFortune
1,Nautilus,Khazix,Ryze,MissFortune,Malzahar
1,Nautilus,LeeSin,Leblanc,Varus,TahmKench
1,Maokai,Khazix,Leblanc,Ezreal,Karma
1,Shen,Graves,Ekko,Jhin,MissFortune
1,Maokai,Elise,Corki,MissFortune,Thresh
1,Poppy,Graves,Corki,Jhin,Malzahar
1,Camille,Graves,Cassiopeia,Ashe,Taric
1,Maokai,Khazix,Corki,Jhin,Karma
1,Nautilus,Khazix,Zilean,Jhin,Zyra
1,Shen,Rengar,Corki,Jhin,Zyra
1,Maokai,Khazix,Zed,Jhin,Zyra
1,Maokai,Khazix,Corki,Jhin,MissFortune
1,Camille,Elise,Cassiopeia,Jhin,Malzahar
1,Maokai,Khazix,Orianna,Jhin,Nami
1,Nautilus,LeeSin,Ryze,Jhin,Karma
1,Shen,Graves,Zed,Ashe,Karma
1,Rumble,LeeSin,Corki,Varus,Morgana
1,Nautilus,LeeSin,Syndra,Ashe,Nami
1,Nautilus,Graves,Orianna,Jhin,Karma
1,Nautilus,Rengar,Ryze,Ashe,Nami
1,Maokai,Elise,Jayce,Sivir,Nami
1,Kled,Olaf,Leblanc,Ezreal,Nami
1,Maokai,LeeSin,Ekko,Jhin,Karma
1,Maokai,Khazix,Cassiopeia,Varus,Thresh
1,Jayce,Elise,AurelionSol,Ezreal,Braum
1,Renekton,Graves,Orianna,Jhin,Thresh
1,Poppy,Khazix,Syndra,Ashe,Malzahar
1,Shen,Rengar,Azir,Ashe,Karma
1,Nautilus,Rengar,Syndra,Ezreal,Lulu
1,Renekton,Elise,Talon,Sivir,Lulu
1,Poppy,Graves,Ahri,Ezreal,Karma
1,Gangplank,Elise,Ahri,Ezreal,Thresh
1,Nautilus,Rengar,Cassiopeia,Ezreal,Lulu
1,Nautilus,LeeSin,Viktor,Ashe,Lulu
1,Shen,Gragas,Katarina,Caitlyn,Lulu
1,Nautilus,Khazix,Ahri,Ezreal,Taric
1,Nautilus,Rengar,Cassiopeia,Jhin,Lulu
1,Maokai,Rengar,Ahri,Ezreal,Lulu
1,Nautilus,LeeSin,Orianna,Varus,Malzahar
1,Nautilus,Olaf,Vladimir,Caitlyn,Lulu
1,Nautilus,Gragas,Syndra,Caitlyn,Karma
1,Maokai,Rengar,Orianna,Ezreal,Thresh
1,Nautilus,LeeSin,Orianna,Caitlyn,Lulu
1,Ekko,LeeSin,Azir,Jhin,Lulu
1,Shen,Elise,Orianna,Caitlyn,Karma
1,Nautilus,Elise,Cassiopeia,Varus,Lulu
1,Rumble,Rengar,Syndra,Caitlyn,Lulu
1,Camille,Elise,Vladimir,Ezreal,Lulu
1,Nautilus,Elise,Ahri,Ezreal,Karma
1,Gragas,Rengar,Orianna,Ashe,Lulu
1,Jayce,Zac,Ahri,Draven,Karma
1,Poppy,Gragas,Vladimir,Ezreal,Thresh
1,Nautilus,LeeSin,Orianna,Ezreal,Karma
1,Rumble,LeeSin,Orianna,Jhin,Zyra
1,Shen,Khazix,Orianna,Varus,Lulu
1,Nautilus,LeeSin,Vladimir,Varus,Lulu
1,Nautilus,LeeSin,Orianna,Lucian,Nami
1,Nautilus,Rengar,Vladimir,Kalista,Thresh
1,Nautilus,LeeSin,Orianna,Ezreal,Malzahar
1,Maokai,Khazix,Taliyah,Ashe,Lulu
1,Nautilus,Rengar,Orianna,Varus,Lulu
1,Renekton,Nidalee,Talon,Varus,Lulu
1,Gangplank,Gragas,Orianna,Caitlyn,Nami
1,Nautilus,Ivern,Syndra,Ashe,Zyra
1,Fizz,Khazix,Orianna,Caitlyn,Lulu
1,Fizz,Rengar,AurelionSol,Ashe,Nami
1,Renekton,Evelynn,Talon,Ashe,Karma
1,Gragas,Khazix,Kassadin,Ashe,Lulu
1,Nautilus,Khazix,Ekko,Ashe,Lulu
1,Nautilus,Graves,Syndra,Lucian,Karma
1,Renekton,LeeSin,Syndra,Varus,Lulu
1,Nautilus,Graves,Taliyah,Varus,Lulu
1,Rumble,Ivern,Jayce,KogMaw,Lulu
1,Shen,Elise,Syndra,Twitch,Karma
1,Camille,Ivern,Taliyah,Caitlyn,Karma
1,Shen,Graves,Syndra,Ashe,Gragas
1,Camille,LeeSin,Syndra,Varus,Nami
1,Gragas,LeeSin,AurelionSol,Caitlyn,Bard
1,Shen,Khazix,Ahri,Varus,Karma
1,Renekton,Elise,Ahri,Varus,Bard
1,Gragas,Ivern,Syndra,Caitlyn,Nami
1,Galio,Ivern,Lucian,Ashe,Karma
1,Kennen,LeeSin,Syndra,Ashe,TahmKench
1,Renekton,Gragas,Syndra,Varus,Karma
1,Lucian,Ivern,Syndra,Ashe,Zyra
1,Galio,Elise,Ekko,Varus,Karma
1,JarvanIV,Olaf,Orianna,Kennen,Thresh
1,JarvanIV,Nidalee,Orianna,Varus,Karma
1,Galio,Rengar,Ahri,Varus,Bard
1,Rumble,LeeSin,Taliyah,Caitlyn,Galio
1,Gragas,Graves,Kassadin,Xayah,Blitzcrank
1,Gragas,LeeSin,Cassiopeia,Varus,Thresh
1,Gragas,Olaf,Syndra,Caitlyn,Karma
1,Renekton,LeeSin,Taliyah,Ashe,Thresh
1,Rumble,Rengar,Viktor,Ashe,Zyra
1,JarvanIV,Gragas,Orianna,Caitlyn,Blitzcrank
1,Pantheon,Gragas,Kassadin,Caitlyn,Karma
1,Renekton,Gragas,Orianna,Xayah,Rakan
1,Kled,Elise,Leblanc,Xayah,Blitzcrank
1,JarvanIV,Gragas,Orianna,Tristana,Morgana
1,Jayce,Gragas,Taliyah,Xayah,Blitzcrank
1,JarvanIV,Elise,Orianna,Caitlyn,Zyra
1,Rumble,LeeSin,Viktor,Caitlyn,Blitzcrank
1,Shen,LeeSin,Viktor,Twitch,Rakan
1,Kled,LeeSin,Taliyah,Varus,Braum
1,Shen,Khazix,Cassiopeia,Varus,Rakan
1,Gragas,LeeSin,Cassiopeia,Ashe,Thresh
1,Kennen,LeeSin,Ahri,Ashe,Morgana
1,Renekton,Nidalee,Cassiopeia,Varus,TahmKench
1,Fiora,Gragas,Leblanc,Varus,Braum
1,JarvanIV,Elise,Syndra,Xayah,Bard
1,Renekton,Elise,Taliyah,Kalista,Thresh
1,Kled,Nidalee,Galio,Jhin,Braum
1,Kled,LeeSin,Zilean,Tristana,Thresh
1,Kled,Elise,Orianna,Varus,Thresh
1,Shen,Zac,Cassiopeia,Ashe,Morgana
1,Renekton,Gragas,Ahri,Jhin,Bard
1,Renekton,Gragas,Kassadin,Ashe,Thresh
1,Gragas,LeeSin,Viktor,Caitlyn,Morgana
1,Renekton,Gragas,Orianna,Jhin,TahmKench
1,Renekton,LeeSin,Cassiopeia,Varus,Braum
1,Kled,LeeSin,Orianna,Jhin,TahmKench
1,JarvanIV,Gragas,Orianna,Tristana,Braum
1,Gnar,RekSai,Cassiopeia,Tristana,Thresh
1,Camille,Elise,Orianna,Tristana,Braum
1,Rumble,LeeSin,Taliyah,Tristana,Morgana
1,Rumble,RekSai,Lucian,Jhin,TahmKench
1,JarvanIV,RekSai,Syndra,Jhin,Thresh
1,Renekton,Nidalee,Ahri,Kalista,Thresh
1,Renekton,RekSai,Malzahar,Ashe,TahmKench
1,Rumble,Rengar,Corki,Tristana,TahmKench
1,Fiora,Gragas,Kassadin,Ashe,Zyra
1,Galio,Olaf,Velkoz,Kalista,Thresh
1,Kled,Nidalee,Taliyah,Twitch,Thresh
1,Camille,Gragas,Galio,Tristana,Braum
1,Renekton,Nidalee,Syndra,Kalista,Thresh
1,Shen,Gragas,Syndra,Xayah,Thresh
1,JarvanIV,Gragas,Orianna,KogMaw,Morgana
1,Renekton,Gragas,Corki,KogMaw,Thresh
1,Kled,Sejuani,Cassiopeia,Tristana,Braum
1,Galio,RekSai,Taliyah,Ashe,Thresh
1,Maokai,Graves,Cassiopeia,Kalista,Blitzcrank
1,Maokai,Rengar,Taliyah,Jhin,Bard
1,Kled,Gragas,Corki,Kalista,Bard
1,JarvanIV,Elise,Orianna,Sivir,Thresh
1,JarvanIV,Elise,Taliyah,Tristana,Taric
1,JarvanIV,Maokai,Taliyah,Jhin,Karma
1,Camille,Khazix,Corki,Draven,Blitzcrank
1,Camille,Elise,Galio,Jhin,TahmKench
1,Shen,JarvanIV,Corki,Jhin,Karma
1,Fiora,Gragas,Taliyah,Kalista,Blitzcrank
1,Kled,RekSai,Taliyah,Jhin,Thresh
1,JarvanIV,Chogath,Corki,Kalista,Janna
1,Gnar,RekSai,Syndra,Varus,Zyra
1,Shen,Maokai,Corki,Sivir,Janna
1,Shen,JarvanIV,Cassiopeia,Tristana,Lulu
