winTeam,loseTeam,gamelength
C9,TSM,37
P1,FOX,25
TL,CLG,44
FLY,NV,37
FOX,IMT,49
IMT,FOX,44
DIG,P1,39
P1,DIG,53
DIG,P1,37
TSM,IMT,53
IMT,TSM,51
TSM,IMT,39
CLG,NV,52
TL,FLY,45
FLY,TL,36
FLY,CLG,43
TSM,DIG,30
C9,IMT,40
P1,NV,42
TSM,TL,42
TL,TSM,43
TSM,TL,46
DIG,FOX,31
FOX,DIG,50
P1,TL,32
FOX,FLY,30
FLY,FOX,31
FOX,FLY,41
NV,IMT,39
IMT,NV,34
C9,CLG,37
CLG,C9,33
C9,CLG,50
P1,IMT,43
NV,TL,39
CLG,TSM,28
TSM,CLG,26
FLY,DIG,32
TL,FOX,40
C9,NV,34
P1,TSM,33
TSM,P1,49
CLG,DIG,41
FLY,IMT,30
C9,FOX,46
C9,TL,45
TL,C9,32
C9,TL,41
IMT,DIG,51
FOX,CLG,31
FLY,P1,28
TSM,NV,25
IMT,TL,43
CLG,P1,46
P1,CLG,36
CLG,P1,45
FOX,TSM,31
DIG,NV,34
DIG,FLY,31
P1,NV,30
CLG,IMT,27
IMT,CLG,50
CLG,IMT,35
TL,DIG,42
DIG,TL,36
NV,FOX,35
IMT,FOX,40
P1,C9,44
TL,CLG,35
CLG,TL,30
IMT,TL,40
TL,IMT,35
P1,CLG,25
CLG,P1,27
C9,FOX,27
FLY,NV,38
NV,FLY,35
FLY,NV,31
TSM,CLG,47
P1,DIG,35
DIG,P1,27
P1,DIG,29
TSM,DIG,28
FOX,TL,34
TL,FOX,50
FOX,TL,29
C9,FLY,40
IMT,NV,41
NV,IMT,47
C9,TL,35
P1,FLY,47
DIG,CLG,40
NV,TSM,33
TSM,NV,28
IMT,FLY,26
P1,FOX,28
CLG,C9,49
C9,CLG,36
CLG,C9,41
FOX,DIG,57
DIG,FOX,40
IMT,TSM,30
TSM,IMT,37
TL,NV,39
NV,TL,27
TL,NV,41
DIG,TL,28
CLG,FOX,39
TSM,FLY,26
P1,TL,39
TSM,FOX,29
P1,IMT,26
CLG,FLY,33
NV,C9,38
C9,NV,43
C9,DIG,46
FLY,FOX,40
IMT,CLG,36
TL,TSM,30
TSM,TL,30
TL,TSM,32
C9,P1,36
FOX,NV,36
NV,FOX,37
FOX,NV,43
TSM,P1,32
DIG,IMT,65
FLY,TL,36
CLG,NV,67
P1,DIG,35
CLG,FLY,40
FLY,CLG,45
FLY,CLG,36
C9,P1,34
FLY,P1,34
FLY,P1,36
P1,FLY,45
TSM,C9,23
C9,TSM,48
C9,CLG,38
CLG,C9,42
IMT,P1,31
CLG,TL,27
FOX,FLY,33
TSM,C9,43
DIG,NV,35
NV,DIG,41
DIG,NV,53
IMT,TSM,38
NV,P1,43
P1,NV,40
NV,P1,37
DIG,FLY,35
FOX,TL,28
C9,P1,36
NV,IMT,34
DIG,TSM,37
TSM,DIG,46
DIG,TSM,37
IMT,FLY,47
FLY,IMT,33
IMT,FLY,34
NV,TL,37
TL,NV,41
NV,TL,43
C9,FOX,24
DIG,TL,34
TL,DIG,47
CLG,TSM,39
TSM,CLG,30
FLY,P1,26
IMT,TL,27
FOX,NV,43
TSM,TL,32
IMT,C9,50
TSM,NV,41
C9,FLY,34
DIG,FOX,51
FOX,DIG,40
DIG,FOX,29
IMT,CLG,34
P1,FOX,37
TSM,FLY,30
CLG,NV,35
NV,CLG,32
CLG,NV,35
C9,TL,34
IMT,DIG,24
TSM,FOX,32
TL,P1,34
P1,TL,51
TL,P1,29
C9,DIG,29
FLY,NV,51
NV,FLY,32
C9,TSM,30
P1,NV,37
NV,P1,50
P1,NV,58
TSM,IMT,42
CLG,C9,36
C9,CLG,31
CLG,C9,32
FOX,TL,34
TL,FOX,29
FOX,TL,38
P1,IMT,32
FLY,FOX,32
NV,DIG,41
DIG,NV,27
NV,DIG,32
CLG,TL,30
CLG,FLY,44
IMT,FOX,35
TSM,P1,30
DIG,CLG,30
NV,C9,39
FLY,TL,35
C9,IMT,37
IMT,C9,38
DIG,P1,24
P1,DIG,25
DIG,P1,31
TSM,TL,34
FOX,NV,32
NV,FOX,35
C9,P1,27
P1,C9,34
C9,P1,31
TL,NV,34
NV,TL,35
TL,NV,40
DIG,TSM,36
CLG,FOX,29
FLY,IMT,42
IMT,FLY,28
TL,P1,29
DIG,C9,24
C9,DIG,41
NV,FLY,43
FOX,P1,39
IMT,TL,30
TSM,FLY,31
CLG,NV,31
DIG,IMT,39
IMT,DIG,38
DIG,IMT,27
TL,C9,35
C9,TL,28
C9,FLY,31
CLG,P1,29
P1,CLG,27
TSM,NV,46
NV,TSM,55
TSM,NV,44
IMT,NV,28
TSM,P1,35
C9,NV,36
IMT,FOX,24
FLY,TL,37
TL,FLY,38
FLY,TL,44
C9,FOX,29
TSM,CLG,31
FLY,P1,29
DIG,C9,40
CLG,NV,35
CLG,NV,36
IMT,CLG,42
IMT,CLG,28
TSM,DIG,35
DIG,TSM,37
CLG,DIG,36
TSM,IMT,38
IMT,TSM,34
TSM,IMT,46
FLY,DIG,38
FLY,DIG,30
FLY,CLG,30
CLG,FLY,31
C9,CLG,36
H2K,OG,43
G2,FNC,43
FNC,G2,50
G2,FNC,46
MSF,GIA,27
