bResult,blueTeamTag,redTeamTag,gamelength
1,C9,TSM,37
1,P1,FOX,25
1,TL,CLG,44
1,FLY,NV,37
1,FOX,IMT,49
1,IMT,FOX,44
1,DIG,P1,39
1,P1,DIG,53
1,DIG,P1,37
1,TSM,IMT,53
1,IMT,TSM,51
1,TSM,IMT,39
1,CLG,NV,52
1,TL,FLY,45
1,FLY,TL,36
1,FLY,CLG,43
1,TSM,DIG,30
1,C9,IMT,40
1,P1,NV,42
1,TSM,TL,42
1,TL,TSM,43
1,TSM,TL,46
1,DIG,FOX,31
1,FOX,DIG,50
1,P1,TL,32
1,FOX,FLY,30
1,FLY,FOX,31
1,FOX,FLY,41
1,NV,IMT,39
1,IMT,NV,34
1,C9,CLG,37
1,CLG,C9,33
1,C9,CLG,50
1,P1,IMT,43
1,NV,TL,39
1,CLG,TSM,28
1,TSM,CLG,26
1,FLY,DIG,32
1,TL,FOX,40
1,C9,NV,34
1,P1,TSM,33
1,TSM,P1,49
1,CLG,DIG,41
1,FLY,IMT,30
1,C9,FOX,46
1,C9,TL,45
1,TL,C9,32
1,C9,TL,41
1,IMT,DIG,51
1,FOX,CLG,31
1,FLY,P1,28
1,TSM,NV,25
1,IMT,TL,43
1,CLG,P1,46
1,P1,CLG,36
1,CLG,P1,45
1,FOX,TSM,31
1,DIG,NV,34
1,DIG,FLY,31
1,P1,NV,30
1,CLG,IMT,27
1,IMT,CLG,50
1,CLG,IMT,35
1,TL,DIG,42
1,DIG,TL,36
1,NV,FOX,35
1,IMT,FOX,40
1,P1,C9,44
1,TL,CLG,35
1,CLG,TL,30
1,IMT,TL,40
1,TL,IMT,35
1,P1,CLG,25
1,CLG,P1,27
1,C9,FOX,27
1,FLY,NV,38
1,NV,FLY,35
1,FLY,NV,31
1,TSM,CLG,47
1,P1,DIG,35
1,DIG,P1,27
1,P1,DIG,29
1,TSM,DIG,28
1,FOX,TL,34
1,TL,FOX,50
1,FOX,TL,29
1,C9,FLY,40
1,IMT,NV,41
1,NV,IMT,47
1,C9,TL,35
1,P1,FLY,47
1,DIG,CLG,40
1,NV,TSM,33
1,TSM,NV,28
1,IMT,FLY,26
1,P1,FOX,28
1,CLG,C9,49
1,C9,CLG,36
1,CLG,C9,41
1,FOX,DIG,57
1,DIG,FOX,40
1,IMT,TSM,30
1,TSM,IMT,37
1,TL,NV,39
1,NV,TL,27
1,TL,NV,41
1,DIG,TL,28
1,CLG,FOX,39
1,TSM,FLY,26
1,P1,TL,39
1,TSM,FOX,29
1,P1,IMT,26
1,CLG,FLY,33
1,NV,C9,38
1,C9,NV,43
1,C9,DIG,46
1,FLY,FOX,40
1,IMT,CLG,36
1,TL,TSM,30
1,TSM,TL,30
1,TL,TSM,32
1,C9,P1,36
1,FOX,NV,36
1,NV,FOX,37
1,FOX,NV,43
1,TSM,P1,32
1,DIG,IMT,65
1,FLY,TL,36
1,CLG,NV,67
1,P1,DIG,35
1,CLG,FLY,40
1,FLY,CLG,45
1,FLY,CLG,36
1,C9,P1,34
1,FLY,P1,34
1,FLY,P1,36
1,P1,FLY,45
1,TSM,C9,23
1,C9,TSM,48
1,C9,CLG,38
1,CLG,C9,42
1,IMT,P1,31
1,CLG,TL,27
1,FOX,FLY,33
1,TSM,C9,43
1,DIG,NV,35
1,NV,DIG,41
1,DIG,NV,53
1,IMT,TSM,38
1,NV,P1,43
1,P1,NV,40
1,NV,P1,37
1,DIG,FLY,35
1,FOX,TL,28
1,C9,P1,36
1,NV,IMT,34
1,DIG,TSM,37
1,TSM,DIG,46
1,DIG,TSM,37
1,IMT,FLY,47
1,FLY,IMT,33
1,IMT,FLY,34
1,NV,TL,37
1,TL,NV,41
1,NV,TL,43
1,C9,FOX,24
1,DIG,TL,34
1,TL,DIG,47
1,CLG,TSM,39
1,TSM,CLG,30
1,FLY,P1,26
1,IMT,TL,27
1,FOX,NV,43
1,TSM,TL,32
1,IMT,C9,50
1,TSM,NV,41
1,C9,FLY,34
1,DIG,FOX,51
1,FOX,DIG,40
1,DIG,FOX,29
1,IMT,CLG,34
1,P1,FOX,37
1,TSM,FLY,30
1,CLG,NV,35
1,NV,CLG,32
1,CLG,NV,35
1,C9,TL,34
1,IMT,DIG,24
1,TSM,FOX,32
1,TL,P1,34
1,P1,TL,51
1,TL,P1,29
1,C9,DIG,29
1,FLY,NV,51
1,NV,FLY,32
1,C9,TSM,30
1,P1,NV,37
1,NV,P1,50
1,P1,NV,58
1,TSM,IMT,42
1,CLG,C9,36
1,C9,CLG,31
1,CLG,C9,32
1,FOX,TL,34
1,TL,FOX,29
1,FOX,TL,38
1,P1,IMT,32
1,FLY,FOX,32
1,NV,DIG,41
1,DIG,NV,27
1,NV,DIG,32
1,CLG,TL,30
1,CLG,FLY,44
1,IMT,FOX,35
1,TSM,P1,30
1,DIG,CLG,30
1,NV,C9,39
1,FLY,TL,35
1,C9,IMT,37
1,IMT,C9,38
1,DIG,P1,24
1,P1,DIG,25
1,DIG,P1,31
1,TSM,TL,34
1,FOX,NV,32
1,NV,FOX,35
1,C9,P1,27
1,P1,C9,34
1,C9,P1,31
1,TL,NV,34
1,NV,TL,35
1,TL,NV,40
1,DIG,TSM,36
1,CLG,FOX,29
1,FLY,IMT,42
1,IMT,FLY,28
1,TL,P1,29
1,DIG,C9,24
1,C9,DIG,41
1,NV,FLY,43
1,FOX,P1,39
1,IMT,TL,30
1,TSM,FLY,31
1,CLG,NV,31
1,DIG,IMT,39
1,IMT,DIG,38
1,DIG,IMT,27
1,TL,C9,35
1,C9,TL,28
1,C9,FLY,31
1,CLG,P1,29
1,P1,CLG,27
1,TSM,NV,46
1,NV,TSM,55
1,TSM,NV,44
1,IMT,NV,28
1,TSM,P1,35
1,C9,NV,36
1,IMT,FOX,24
1,FLY,TL,37
1,TL,FLY,38
1,FLY,TL,44
1,C9,FOX,29
