bResult,rResult,blueTopChamp,blueJungleChamp,blueMiddleChamp,blueADCChamp,blueSupportChamp,redTopChamp,redJungleChamp,redMiddleChamp,redADCChamp,redSupportChamp,Year
1,0,Irelia,RekSai,Ahri,Jinx,Janna,Gnar,Elise,Fizz,Sivir,Thresh,2015
0,1,Gnar,Rengar,Ahri,Caitlyn,Leona,Irelia,JarvanIV,Azir,Corki,Annie,2015
1,0,Renekton,Rengar,Fizz,Sivir,Annie,Sion,LeeSin,Azir,Corki,Janna,2015
0,1,Irelia,JarvanIV,Leblanc,Sivir,Thresh,Gnar,Nunu,Lulu,KogMaw,Janna,2015
1,0,Gnar,JarvanIV,Lissandra,Tristana,Janna,Sion,RekSai,Lulu,Corki,Annie,2015
0,1,Kassadin,Rengar,Leblanc,Sivir,Annie,Gnar,JarvanIV,Lulu,Corki,Thresh,2015
1,0,Irelia,JarvanIV,Xerath,Corki,Janna,Renekton,LeeSin,Leblanc,Tristana,Nami,2015
1,0,Renekton,JarvanIV,Azir,Caitlyn,Annie,Rumble,Rengar,Leblanc,Sivir,Blitzcrank,2015
0,1,Sion,RekSai,Orianna,KogMaw,Janna,Kassadin,Vi,Zed,Corki,Morgana,2015
1,0,Irelia,Nocturne,Orianna,Sivir,Nami,Gnar,Rengar,Leblanc,Graves,Morgana,2015
1,0,Gnar,JarvanIV,Azir,Corki,Morgana,Lulu,LeeSin,Xerath,Ezreal,Janna,2015
1,0,Jax,JarvanIV,Kassadin,Graves,Morgana,Gnar,RekSai,Ahri,Corki,Thresh,2015
1,0,Irelia,Vi,Lissandra,Kalista,Annie,Gnar,JarvanIV,Ahri,Sivir,Leona,2015
0,1,Lulu,LeeSin,Xerath,Corki,Janna,Sion,JarvanIV,Cassiopeia,Kalista,Blitzcrank,2015
1,0,Maokai,JarvanIV,Leblanc,Kalista,Annie,Lulu,Rengar,Morgana,Tristana,Janna,2015
1,0,Rumble,Vi,Zed,Caitlyn,Morgana,Gnar,RekSai,Leblanc,Corki,Janna,2015
0,1,Gnar,JarvanIV,Azir,KogMaw,Nami,Maokai,LeeSin,Zed,Sivir,Janna,2015
1,0,Lissandra,JarvanIV,Xerath,Tristana,Morgana,Gnar,Nunu,Ahri,Caitlyn,Janna,2015
1,0,Gnar,LeeSin,Leblanc,KogMaw,Nami,Malphite,JarvanIV,Orianna,Graves,Janna,2015
0,1,Sion,Rengar,Ahri,Sivir,Janna,Lissandra,JarvanIV,Corki,Kalista,Thresh,2015
0,1,Lulu,RekSai,Corki,Kalista,Morgana,Rumble,LeeSin,Ahri,Graves,Annie,2015
1,0,Maokai,Vi,Kassadin,Graves,Annie,Irelia,JarvanIV,Corki,Sivir,Leona,2015
0,1,RekSai,Vi,Azir,Corki,Thresh,Maokai,LeeSin,Xerath,Sivir,Morgana,2015
1,0,Lissandra,RekSai,Xerath,Vayne,Nami,Sion,JarvanIV,Cassiopeia,Sivir,Morgana,2015
0,1,Gnar,JarvanIV,Kassadin,Sivir,Janna,Irelia,Vi,Nidalee,Jinx,Morgana,2015
1,0,Rumble,Vi,Leblanc,Graves,Morgana,Maokai,JarvanIV,Xerath,Lucian,Janna,2015
1,0,Lissandra,LeeSin,Ezreal,Sivir,Alistar,Irelia,Vi,Azir,Corki,Janna,2015
0,1,Maokai,Vi,Ezreal,Vayne,Annie,Rumble,JarvanIV,Ahri,Sivir,Morgana,2015
1,0,Jax,RekSai,Lissandra,Graves,Morgana,Gnar,LeeSin,Lulu,Kalista,Annie,2015
1,0,Sion,Vi,Ahri,Jinx,Janna,Maokai,LeeSin,Yasuo,Graves,Morgana,2015
0,1,Irelia,RekSai,Leblanc,Kalista,Thresh,Sion,JarvanIV,Nidalee,Jinx,Morgana,2015
