TOP,JG,MID,ADC,SUP
Nautilus,LeeSin,Syndra,Varus,Taric
Maokai,Khazix,Orianna,Varus,Karma
Nautilus,Khazix,Orianna,Twitch,Karma
Nautilus,Graves,Corki,Ashe,Zyra
Maokai,Graves,TwistedFate,Varus,Malzahar
Fiora,RekSai,Ryze,Varus,Morgana
Maokai,Rengar,Cassiopeia,Ezreal,Karma
Maokai,Elise,Corki,Ashe,MissFortune
Fiora,RekSai,Ryze,Ashe,Thresh
Nautilus,Khazix,Cassiopeia,Ashe,Karma
Maokai,Khazix,Syndra,Caitlyn,Morgana
Maokai,LeeSin,Cassiopeia,Ashe,Thresh
Nautilus,Olaf,Katarina,Ashe,MissFortune
Fiora,RekSai,Ekko,Ashe,MissFortune
Maokai,Khazix,Corki,Caitlyn,Malzahar
Nautilus,Khazix,TwistedFate,Varus,Malzahar
Nautilus,Khazix,Cassiopeia,Varus,Braum
Nautilus,Khazix,Syndra,Ashe,Malzahar
Maokai,Khazix,Orianna,Ezreal,Nami
Poppy,Rengar,Ryze,Ashe,Zyra
Poppy,Khazix,Ekko,Ashe,Thresh
Maokai,Rengar,Azir,Varus,Karma
Maokai,LeeSin,Ryze,Varus,Karma
Swain,Khazix,TwistedFate,Ashe,MissFortune
Shen,Rengar,Corki,Varus,MissFortune
Swain,Khazix,Viktor,Jhin,Camille
Nautilus,Khazix,Viktor,Jhin,Malzahar
Nautilus,Khazix,Orianna,Ashe,Zyra
Nautilus,Khazix,Orianna,Ashe,Zyra
Nautilus,Khazix,Ryze,Ashe,Morgana
Nautilus,Khazix,Cassiopeia,Ashe,TahmKench
Trundle,Khazix,Orianna,Jhin,Malzahar
Shen,Khazix,Katarina,Ashe,Malzahar
Maokai,Khazix,Corki,Varus,Nami
Rumble,RekSai,Corki,Varus,Zyra
Maokai,Khazix,AurelionSol,Sivir,Karma
Camille,LeeSin,Corki,Jhin,Thresh
Shen,Rengar,Zed,MissFortune,Morgana
Nautilus,Khazix,Corki,Jhin,Lulu
Maokai,Khazix,Ryze,Jhin,Taric
Shen,Khazix,Corki,Varus,Nami
Shen,Rengar,Ekko,Ashe,Karma
Maokai,Khazix,Syndra,Jhin,MissFortune
Shen,Evelynn,Zed,Jhin,Karma
Rumble,Khazix,Syndra,Jhin,Malzahar
Jayce,Ivern,Taliyah,Jhin,Karma
Rumble,Graves,Corki,Varus,Nami
Maokai,Khazix,Ryze,Jhin,Malzahar
Maokai,Warwick,Ryze,Varus,Malzahar
Singed,Khazix,Corki,Jhin,Malzahar
Maokai,Nidalee,Jayce,Jhin,Malzahar
Rumble,Ivern,Jayce,Jhin,Taric
Maokai,Khazix,Ryze,MissFortune,Thresh
Maokai,Graves,Ekko,Jhin,Thresh
Rumble,Khazix,Jayce,Jhin,Lulu
Gangplank,Rengar,Corki,Jhin,Malzahar
Singed,Khazix,Corki,Jhin,Malzahar
Maokai,Graves,Orianna,Varus,Nami
Shen,Graves,Zed,Ziggs,Thresh
Gangplank,Elise,Syndra,Jhin,Lulu
Nautilus,Rengar,Jayce,Ashe,Soraka
Rumble,Rengar,Corki,Sivir,Janna
Fiora,Rengar,AurelionSol,Ashe,Soraka
Maokai,Rengar,Leblanc,Caitlyn,Zyra
Camille,Nidalee,Jayce,Jhin,Zyra
Shen,RekSai,Corki,Varus,Malzahar
Shen,Rengar,Jayce,Sivir,Karma
Rumble,Rengar,Orianna,Jhin,Janna
Nautilus,Graves,Ekko,Jhin,Zyra
Poppy,LeeSin,Orianna,Jhin,Soraka
Nautilus,Elise,Leblanc,Ashe,MissFortune
Camille,Rengar,Ahri,Jhin,Karma
Nautilus,Olaf,Syndra,Ashe,Nami
Shen,Graves,Orianna,Ezreal,Bard
Rumble,Graves,Jayce,Jhin,TahmKench
Rumble,Graves,Zed,Mordekaiser,Nautilus
Ekko,LeeSin,Jayce,Jhin,Malzahar
Nautilus,Graves,Orianna,Mordekaiser,Blitzcrank
Maokai,Rengar,Syndra,Varus,Karma
Kled,Elise,Jayce,Ashe,Nami
Gragas,LeeSin,Jayce,Ezreal,TahmKench
Gangplank,Zac,Leblanc,Jhin,Lulu
Rumble,Khazix,Jayce,Varus,Braum
Renekton,Rengar,Ahri,Ashe,TahmKench
Renekton,Graves,Syndra,Jhin,Karma
Renekton,Rengar,Viktor,Ashe,Camille
Camille,Rengar,Jayce,Ezreal,Karma
Rumble,Elise,Talon,Ashe,MissFortune
Rumble,Elise,Jayce,Jhin,Zyra
Camille,Rengar,Ekko,Ezreal,Karma
Kled,Elise,Viktor,Ezreal,Nami
Nautilus,Rengar,Syndra,Jhin,Lulu
Rumble,LeeSin,Jayce,Ziggs,Braum
Camille,Graves,Ryze,Ziggs,Karma
Rumble,Rengar,Jayce,Ashe,Karma
Kled,Zac,Cassiopeia,Ezreal,Lulu
Trundle,Rengar,Orianna,Caitlyn,Lulu
Rumble,Rengar,Ekko,Jhin,Karma
Poppy,Gragas,Ahri,Ezreal,Lulu
Shen,Graves,Ahri,Ashe,Lulu
Gragas,Graves,Vladimir,Ezreal,Thresh
Rumble,Rengar,Orianna,Caitlyn,Karma
Gragas,Graves,Ryze,Ashe,Lulu
Camille,Elise,Ryze,Jhin,Karma
