ADC,Alistar,Ashe,Bard,Blitzcrank,Brand,Braum,Camille,Elise,Fiddlesticks,Galio,Gragas,Janna,Kalista,Karma,Kennen,LeeSin,Leona,Lulu,Lux,Malzahar,Maokai,MissFortune,Morgana,Nami,Nautilus,Rakan,Rengar,Sejuani,Shen,Sion,Sona,Soraka,TahmKench,Taric,Thresh,Trundle,Vayne,Velkoz,Zac,Zilean,Zyra
Alistar,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashe,6,0,11,3,4,29,2,0,0,0,1,0,0,69,1,0,2,48,1,41,0,24,6,28,10,11,0,0,1,0,1,3,37,8,51,7,0,1,0,1,94
Caitlyn,6,0,14,13,1,55,0,0,0,3,0,7,0,50,0,0,0,49,2,27,0,4,12,8,0,3,0,0,0,0,2,1,23,3,47,8,0,0,0,1,30
Corki,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Draven,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Ezreal,0,0,1,0,0,5,1,0,1,0,0,0,0,54,0,0,0,48,0,8,0,1,0,25,1,0,0,0,0,0,0,0,6,1,14,0,0,1,0,1,19
Heimerdinger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Irelia,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jhin,6,0,11,6,3,28,1,0,0,2,0,6,0,64,0,0,4,20,0,63,0,21,2,15,9,3,1,0,0,0,0,2,44,9,51,6,0,2,0,2,57
Jinx,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1
Kalista,23,0,3,18,1,46,0,0,0,0,1,5,0,0,7,0,2,6,0,3,1,0,9,0,0,36,0,0,2,0,0,0,3,7,65,5,0,0,0,0,4
Karthus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Kennen,0,0,0,2,0,1,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,7
KogMaw,4,0,1,0,1,21,1,0,0,2,0,18,0,2,0,0,0,24,0,1,0,0,4,1,0,2,0,0,0,0,1,0,3,1,14,3,0,0,0,0,0
Lucian,2,0,1,0,1,16,0,0,0,0,1,1,0,16,0,0,0,19,0,10,0,0,1,11,2,1,0,0,0,0,1,1,3,1,3,2,0,0,0,1,6
MissFortune,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,5
Mordekaiser,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quinn,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sivir,6,0,3,1,0,8,0,0,0,0,0,7,0,23,0,0,0,10,0,5,0,0,3,8,0,3,0,0,0,0,0,0,4,2,6,3,0,0,0,0,2
Tristana,37,0,7,13,0,31,1,0,0,1,0,20,0,9,1,0,1,16,0,0,0,0,16,1,0,14,0,0,0,0,0,2,12,6,45,2,0,0,0,0,2
Twitch,2,0,0,6,0,16,2,0,0,0,0,8,0,6,0,0,0,13,0,0,0,0,1,3,0,6,0,0,0,0,0,2,11,1,20,1,0,0,0,0,1
Varus,14,0,13,20,5,63,1,0,0,2,1,8,0,75,0,0,3,57,1,59,0,16,6,25,6,8,0,0,3,1,4,1,42,11,71,5,0,2,1,2,66
Vayne,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0
Xayah,12,0,6,14,0,23,0,0,0,2,0,14,0,3,0,0,1,6,0,0,0,0,3,0,2,90,0,1,1,0,0,1,7,7,38,3,0,0,0,0,5
Ziggs,0,1,0,0,0,2,1,1,0,0,0,1,0,3,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,5
