MID,Bard,Camille,Chogath,Draven,Ekko,Elise,Evelynn,Ezreal,Gragas,Graves,Hecarim,Ivern,JarvanIV,Jax,Jayce,Kayn,Khazix,LeeSin,Lulu,Maokai,Nidalee,Nocturne,Nunu,Olaf,Poppy,Rammus,RekSai,Rengar,Riven,Rumble,Sejuani,Shaco,Skarner,Vi,Warwick,Zac
Ahri,0,1,0,0,0,17,0,0,8,34,0,2,0,0,0,0,25,21,0,0,1,1,0,3,0,1,3,23,0,0,0,0,0,1,1,2
Akali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anivia,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2,3,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0
AurelionSol,0,0,0,0,0,4,0,0,3,0,0,1,2,0,0,0,5,7,0,0,0,0,0,2,0,0,2,5,0,0,2,0,0,0,0,0
Azir,0,0,0,0,0,3,0,0,1,3,0,2,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
Camille,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Cassiopeia,0,0,4,0,0,30,0,0,42,18,0,8,9,1,1,2,34,31,0,2,3,0,1,6,0,1,28,23,0,0,18,0,0,0,5,8
Corki,0,0,5,0,0,30,2,0,39,21,2,25,14,0,0,0,43,28,0,3,4,0,0,4,0,0,33,22,0,2,24,0,0,0,0,13
Ekko,0,0,0,0,0,15,0,0,1,14,0,3,0,0,0,0,12,10,0,0,0,0,0,2,0,0,5,8,0,0,0,0,0,0,1,4
Fiora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Fizz,0,0,0,0,0,3,0,0,2,3,0,0,1,0,0,0,3,4,0,0,0,0,2,0,0,0,1,0,0,0,3,0,0,0,0,0
Galio,0,0,1,0,0,10,0,0,30,4,0,2,14,1,0,1,18,8,0,2,4,0,0,5,0,0,6,0,0,0,9,0,0,0,1,3
Gangplank,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Heimerdinger,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JarvanIV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Jayce,0,0,0,0,0,25,0,0,6,7,0,5,4,0,0,0,10,14,0,1,5,0,1,0,0,0,2,8,0,0,5,0,0,0,2,4
Jhin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karma,0,0,0,0,0,4,0,0,5,0,1,0,0,0,0,0,4,7,0,1,0,0,2,2,0,0,6,4,0,0,2,0,0,0,0,4
Karthus,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Kassadin,0,0,2,0,0,8,0,0,15,7,1,1,2,0,0,0,5,2,0,4,1,1,0,0,0,0,3,4,0,0,3,0,0,0,1,3
Katarina,0,0,0,0,0,2,0,0,1,2,0,1,0,0,0,0,5,1,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0
Kayle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kayn,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KogMaw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Leblanc,0,0,0,0,0,20,0,0,17,13,2,5,6,0,0,1,16,19,0,1,1,1,0,4,0,0,17,17,0,1,3,0,0,0,0,12
